dt,fplatformname,fuid,predict
2018-07-02,云南,19946356,0.0
2018-07-02,云南,17797253,0.0
2018-07-02,云南,10065594,0.0
2018-07-02,云南,6692910,0.0
2018-07-02,云南,6717754,0.0
2018-07-02,云南,20299065,0.0
2018-07-02,云南,20865789,0.0
2018-07-02,云南,19605376,0.0
2018-07-02,云南,5611831,0.0
2018-07-02,云南,20280936,0.0
2018-07-02,云南,5813804,0.0
2018-07-02,云南,7027962,0.0
2018-07-02,云南,20727843,0.0
2018-07-02,云南,16821018,0.0
2018-07-02,云南,18111347,0.0
2018-07-02,云南,20704499,0.0
2018-07-02,云南,21132312,1.0
2018-07-02,云南,10225213,0.0
2018-07-02,云南,18663757,0.0
2018-07-02,云南,20773572,0.0
2018-07-02,云南,20308925,0.0
2018-07-02,云南,20266077,1.0
2018-07-02,云南,21080621,0.0
2018-07-02,云南,20656511,1.0
2018-07-02,云南,10719463,0.0
2018-07-02,云南,20880247,1.0
2018-07-02,云南,10165859,0.0
2018-07-02,云南,21038850,1.0
2018-07-02,云南,20188102,0.0
2018-07-02,云南,11709448,0.0
2018-07-02,云南,21105919,1.0
2018-07-02,云南,20913259,0.0
2018-07-02,云南,20032594,0.0
2018-07-02,云南,21047567,0.0
2018-07-02,云南,18116902,0.0
2018-07-02,云南,20439670,0.0
2018-07-02,云南,20498773,0.0
2018-07-02,云南,18349758,0.0
2018-07-02,云南,7203391,0.0
2018-07-02,云南,5682811,0.0
2018-07-02,云南,4860721,0.0
2018-07-02,云南,13530151,0.0
2018-07-02,云南,15433163,0.0
2018-07-02,云南,19181405,0.0
2018-07-02,云南,21142052,1.0
2018-07-02,云南,20423134,0.0
2018-07-02,云南,19106677,0.0
2018-07-02,云南,4558587,0.0
2018-07-02,云南,20080916,1.0
2018-07-02,云南,15546555,0.0
2018-07-02,云南,21119764,1.0
2018-07-02,云南,19051707,0.0
2018-07-02,云南,5010321,0.0
2018-07-02,云南,20743833,0.0
2018-07-02,云南,21097332,1.0
2018-07-02,云南,19102479,0.0
